name,desc
long-reach,The Pokemon uses its moves without making contact with the target.
anticipation,Senses the foe's dangerous moves.
cute-charm,Infatuates on contact.
fur-coat,Halves damage from physical moves.
magician,The Pokemon steals the held item of a Pokemon it hits with a move.
pickpocket,Steals an item when hit by another Pokemon.
comatose,It's always drowsing and will never wake up. It can attack without waking up.
friend-guard,Reduces damage done to allies.
steam-engine,Boosts the Pokemon's Speed stat drastically if hit by a Fire- or Water-type move.
damp,Prevents self-destruction.
grassy-surge,Turns the ground into Grassy Terrain when the Pokemon enters a battle.
drizzle,Summons rain in battle.
battle-armor,Blocks critical hits.
magic-bounce,Reflects status- changing moves.
weak-armor,Physical attacks lower Defense and raise Speed.
ice-scales,The Pokemon is protected by ice scales, which halve the damage taken from special moves.
dancer,When another Pokemon uses a dance move, it can use a dance move following it regardless of its Speed.
refrigerate,Normal-type moves become Ice-type moves.
soul-heart,Boosts its Sp. Atk stat every time a Pokemon faints.
reckless,Powers up moves that have recoil damage.
quick-feet,Boosts Speed if there is a status problem.
hyper-cutter,Prevents ATTACK reduction.
super-luck,Heightens the critical-hit ratios of moves.
wimp-out,The Pokemon cowardly switches out when its HP becomes half or less.
levitate,Not hit by GROUND attacks.
light-metal,Halves the Pokemon's weight.
poison-point,Poisons foe on contact.
schooling,When it has a lot of HP, the Pokemon forms a powerful school. It stops schooling when its HP is low.
gooey,Contact with the Pokemon lowers the attacker's Speed stat.
sharpness,Boosts the strength of slicing moves used by the Pokemon by 50%.
emergency-exit,The Pokemon, sensing danger, switches out when its HP becomes half or less.
illuminate,Encounter rate increases.
ball-fetch,If the Pokemon is not holding an item, it will fetch the Poke Ball from the first failed throw of the battle.
stall,The Pokemon moves after even slower foes.
solid-rock,Reduces damage from supereffective attacks.
iron-barbs,Inflicts damage to the Pokemon on contact.
protean,Changes the Pokemon's type to the type of the move it's using.
volt-absorb,Turns electricity into HP.
cotton-down,When the Pokemon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokemon except itself.
sand-force,Boosts certain moves' power in a sandstorm.
sheer-force,Removes added effects to increase move damage.
blaze,Ups FIRE moves in a pinch.
stamina,Boosts the Defense stat when hit by an attack.
aerilate,Normal-type moves become Flying-type moves.
synchronize,Passes on status problems.
rattled,Some move types scare it and boost its Speed.
oblivious,Prevents attraction.
