name,id,type,subtype,ablty_one,ablty_two,ablty_three,base_exp,weight,height,hp,attack,defense,spec_attack,spec_defense,speed,offset
mismagius,429,ghost,,levitate,,,173,44,9,60,60,60,105,105,105,945824
aron,304,steel,rock,sturdy,rock-head,heavy-metal,66,600,4,50,70,100,40,40,30,2646361
weavile,461,dark,ice,pressure,pickpocket,,179,340,11,70,120,65,45,85,125,571196
lucario,448,fighting,steel,steadfast,inner-focus,justified,184,540,12,70,110,70,115,70,90,2635157
espurr,677,psychic,,keen-eye,infiltrator,own-tempo,71,35,3,62,48,54,63,60,68,5226908
kakuna,14,bug,poison,shed-skin,,,72,100,6,45,25,50,25,25,35,4261469
charmeleon,5,fire,,blaze,solar-power,,142,190,11,58,64,58,80,65,80,6299047
torracat,726,fire,,blaze,intimidate,,147,250,7,65,85,50,80,50,90,3525532
nidoking,34,poison,ground,poison-point,rivalry,sheer-force,253,620,14,81,102,77,85,75,85,3886225
grumpig,326,psychic,,thick-fat,own-tempo,gluttony,165,715,9,80,45,65,90,110,80,2268987
mudbray,749,ground,,own-tempo,stamina,inner-focus,77,1100,10,70,100,70,45,55,45,3132170
xurkitree,796,electric,,beast-boost,,,285,1000,38,83,89,71,173,71,83,2985297
golett,622,ground,ghost,iron-fist,klutz,no-guard,61,920,10,59,74,50,35,50,35,1442819
gothorita,575,psychic,,frisk,competitive,shadow-tag,137,180,7,60,45,70,75,85,55,509334
zacian,888,fairy,,intrepid-sword,,,335,1100,28,92,130,115,80,115,138,2514495
dracozolt,880,electric,dragon,volt-absorb,hustle,sand-rush,177,1900,18,90,100,90,80,70,75,5075752
arctozolt,881,electric,ice,volt-absorb,static,slush-rush,177,1500,23,90,100,90,90,80,55,1031206
falinks,870,fighting,,battle-armor,defiant,,165,620,30,65,100,100,70,60,75,3595309
drednaw,834,water,rock,strong-jaw,shell-armor,swift-swim,170,1155,10,90,115,90,48,68,74,2436043
whiscash,340,water,ground,oblivious,anticipation,hydration,164,236,9,110,78,73,76,71,60,3058969
arctovish,883,water,ice,water-absorb,ice-body,slush-rush,177,1750,20,90,90,100,80,90,55,1544257
talonflame,663,fire,flying,flame-body,gale-wings,,175,245,12,78,81,71,74,69,126,1789681
hatterene,858,psychic,fairy,healer,anticipation,magic-bounce,255,51,21,57,90,95,136,103,29,3584766
staryu,120,water,,illuminate,natural-cure,analytic,68,345,8,30,45,55,70,55,85,6131609
fennekin,653,fire,,blaze,magician,,61,94,4,40,45,40,62,60,60,4040882
sentret,161,normal,,run-away,keen-eye,frisk,43,60,8,35,46,34,35,45,20,3282552
lotad,270,water,grass,swift-swim,rain-dish,own-tempo,44,26,5,40,30,30,40,50,30,1398344
dragonite,149,dragon,flying,inner-focus,multiscale,,300,2100,22,91,134,95,100,100,80,1179643
toxapex,748,poison,water,merciless,limber,regenerator,173,145,7,50,63,152,53,142,35,400416
tauros,128,normal,,intimidate,anger-point,sheer-force,172,884,14,75,100,95,40,70,110,3468379
dwebble,557,bug,rock,sturdy,shell-armor,weak-armor,65,145,3,50,65,85,35,35,55,828409
popplio,728,water,,torrent,liquid-voice,,64,75,4,50,54,54,66,56,40,3355777
clefable,36,fairy,,cute-charm,magic-guard,unaware,242,400,13,95,70,73,95,90,60,141367
